"page","kind","desktop_1440","mobile_390","console","status","content_hash","reviewer","review_round","evidence","approval_source"
"lesson-084","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","3a8ec7b032aa4cb70512ac73db8e05cf64840211ff9885d1ab68cc43a918965b","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-084","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-085","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","d7a994f2f5a3e3bfbdadb329d43cf54186e68a5816ef7ac3264f8b6cc1ad770b","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-085","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-086","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","e02d525ebcf0a2090167bc990d3bdcf04eef92f80e661ae133435965cf521b33","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-086","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-087","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","2ebbbb3bd86d4daacd247f37882ec9652ef031f892e8ab9bc0481aec5738344c","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-087","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-088","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","523afb28c27fc4026da86e3af4fe23131e580227d20d381da623c457d2428cea","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-088","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-089","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","a5e4ebf2012ee2c5606a562cafcb8723e5260b2163e9049786691b0a4d253e73","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-089","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-090","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","f5da92f0c60a2741354a6ec0c28bafd97bc78152555e775992e40b7cd6959970","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-090","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-091","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","909ba3bb93456a4b23dd530a3a5c7578e429584a195697c5bb9302d6d98cb5cf","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-091","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-092","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","861c1fa5cea2ea4640c3fcd77cd2da9b2dc9a97f90c7dbd76bd37045a16d4747","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-092","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-093","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","686d304399616e23357e55a461dcbb3febdc572f411dce567929edc447dd679e","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-093","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-094","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","8f86f432cb73bdc8ac45da19a3360c31eab9b8c1373001ba989603cc575df748","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-094","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-095","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","ed6e1fd019f470c366b71b0c8dfc3c0d656f909ca391cadaf5a48bc079a18e02","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-095","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-096","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","2b3b842c39c89b2a5edf109aa3cdac1f7780588dcd751fed4a5d883aba9fac7d","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-096","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-097","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","3fc958e14199e729f3871576c3bb8accd67af5420ef5efbe9716df1f70fff846","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-097","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-098","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","5ae14f982f014cfad818c7ff5b9d19b7b8968b664483faf50757db7185d79954","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-098","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-099","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","f52b54152b2f6ab3321b7a380454fc6ad17b3958f0c2f8cee8de2eaf5f70ff00","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-099","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-100","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","63a9e4e82b9aceb17e0bd6b442c45a66673c42177ee5376a1bad768e75c89fb8","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-100","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-101","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","3206dd5521b5d4afd05c7171de00c67284240627c075ea7934f4de2136ecb5c4","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-101","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-102","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","9fbfba7684d6dd9ec36b246091999cca3ee519ade565d72b83af3060548a1b8b","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-102","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-103","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","276879f98446564fc48f386090b517855e86753430e9f99d72f305f7ac24dbbf","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-103","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-104","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","b2c7584573d348f659c93a0f692133511e213027dc5a15c499a9d0bbc016e3a9","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-104","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-105","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","856a166c66fff71e3cc1ed037adc1bf295150ea521fae68bab8f8ef0715e2119","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-105","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-106","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","8f74768233933eb9b83d253d317064e830c05f8e35251e224dcec42fa33968c0","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-106","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-107","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","52067140ed987afabdcf8a7c837d9bffb53e8a8095ff600d424ca1115806c84a","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-107","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-108","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","ab785bcaaf5ad3d1e3ba252acee03213374525a888b45b661da0280882ed1093","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-108","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-109","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","7c2e765dedfe44a70677ecc298b7b6968bcf0c09825e59cfe93344f045fa9884","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-109","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-110","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","d1a42c35faed285ade7b8a5560c0b88ddedda8967e9d2bcff49316240ec12e03","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-110","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-111","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","e4f5430f40a9eaf3ab6f7d6ab8656ef2aed26559c18c3d9f00c8da83d359047e","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-111","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-112","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","44d05fb43908834ddb75d43a90b679d82917e1a8af90360a441c5192da91c7db","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-112","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-113","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","3935b11e8138d6334d3883e3737907f6e0ecde2b2a15f38d9520ee33d2af7ec4","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-113","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-114","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","fc8c68fe2d565e781d1bae133c4d7467f277158a8ad9dc329aa9311452ce989f","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-114","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-115","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","726a2cb83a2a040666b267a6c9471e165e6cafcf4fc18bb00c0a08a10aad3ebf","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-115","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-116","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","f8e74a565602db7603a520e25a31a2c9231869d96a0d76749eb159ecaffabe85","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-116","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-117","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","af3adc8084d9c4b53d263823655e41702319a354e9b7d69eede50b06ac02ee2c","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-117","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-118","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","4548f0dd0946c5c1ce2e0de4436e7fb2c2bd7297d19bfcc316505090373d997a","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-118","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-119","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","ff8dcfb139146184d864d6f62d99a99ad2cdfc0351d74abdf4c403693c3cb35a","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-119","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-120","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","22dedd0ee042a6318c42cd0832dbdf98614c9de37b289e9dc65939cef48a5f14","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-120","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-121","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","f131653092dbe4da50adfe9a9a33b14d9b507b6b44cd2dd8274736e1ca0ddfab","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-121","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-122","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","0edb1783815ff936617a5f2f4c0115ca3a7de0eed1027201fdca281ff3c20908","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-122","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-123","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","20c5f6966369243b5db50c3f33dfb0fc0703888a33108e24494890573f1297c4","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-123","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-124","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","9db346de8e78d46d49daf961cb368028645d60e26f389b3d871de73108af06a8","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-124","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-125","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","53a195245d464722c668dd1238c86d011c6ca32d8069f3373f51e9981587c09c","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-125","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-126","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","d6da587488aea8e14dd5c373d1e386ef29aad040b33a4f3bc0e447f476ac7cea","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-126","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-127","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","14d83bf5f59b103621e86efc83e59b0b10e3bc214afe3ef78e25f01fe87cc888","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-127","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-128","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","0cdda7a8304c536bf31ef23fbd4a6e84fbccb83be8a8678a7d5f9235d11bb07b","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-128","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-129","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","0c00f2c3fbbe83bbbdc0fce918f10f84ed8dbf5d1cf5507eb5e1f521d985e5e5","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-129","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-130","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","4faa02a4b323dfe138eb18fec8edae5eaa902321a9e76499e241924ea249cd35","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-130","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-131","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","65dad0cf02d8386ce2af07919585e9a31df39b1765522122838177d1cffc3c9a","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-131","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-132","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","0ac148346bbfa2b97f03bb3e2163bc22dc04ca900a49afdd5868d7d40cabd579","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-132","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-133","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","db356e363305df7db51a3970891398946b1830391693c30cf9dabc2ed9102582","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-133","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-134","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","5c7570e1ac6787141509138e4647c0e5664ac2c595a71fb23bb200c2d94c78a0","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-134","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-135","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","4c4a6db0aa4f3bdbae92528a87da6c4a2def0e1e59ef46a6a72e67b448947864","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-135","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-136","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","a1a81c5ed842f525739b9de474cc7dc8eb0b996523049a2f398c89f949fb7d7f","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-136","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-137","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","2462d31f8a6b78a8bf7d3524ccf3228b32b14f76c681a5ed64627b48a519ce42","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-137","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-138","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","fb6587eddad9185ba1aaddc342d2d8487d2cda9e22cb3b1d0427a9c1d2d1a047","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-138","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-139","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","85edd99ea09d4e25137ba243ecaeea531f2a95af40034c0627e7055cc4b336f9","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-139","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-140","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","5716963e68de7299ad00da6341dbf2283fd77c20f189bfc3877a791b873275c7","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-140","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-141","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","49c4ea790651f17b44a8c4df758238957b413e292e0da16d23ef11bd9b25e1c3","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-141","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-142","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","30fa39dccf3ce507b6e9436160aba06735026dfa6ebad9838031703042eeec69","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-142","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-143","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","ee246655ebe4a1e3bfd002b4585cbe9ff2aef51fe5f8fab5abae2f69f46ddac6","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-143","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-144","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","c616b8b3009f0a4d042d4cfe76c8da2208b039134cc61556662d8097da5eede0","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-144","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-145","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","9ece4332b38c6e1059b9711d1f5be88915a6ca1f5b4a2f5aa3f2e1cecfa69bac","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-145","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-146","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","94e4ec34753f1d2fcd2783f8903b96fc68fc24014e3d98e8379755bcde25386e","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-146","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-147","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","d66e001dc5d05251eac51d6919930e529b02c1225a456b651e5b0d39e1b32dd6","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-147","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-148","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","78fbb600688d422d0fd850bd8f1c8dd0a591d362649527203d55920540f5a9d2","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-148","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-149","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","2d0e2acf09b9baf492960056b932fc384f67c79087b85d59903ed6cada01e923","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-149","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-150","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","c8b28fadf38c56239804be91d27013eed4a35a328d2c5e5c9b216ae80f382390","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-150","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
